0.0000	500.0000	100.0000
0.1000	650.0000	99.0000
0.2000	848.2500	98.3070
0.3000	1109.9054	98.0086
0.4000	1453.9282	98.2241
0.5000	1903.0170	99.1158
0.6000	2482.3353	100.9059
0.7000	3215.7925	103.8974
0.8000	4117.8641	108.5017
0.9000	5178.1792	115.2676
1.0000	6336.3419	124.8997
1.1000	7448.3781	138.2299
1.2000	8259.1379	156.0571
1.3000	8421.9640	178.7139
1.4000	7633.9266	205.2420
1.5000	5907.0553	232.4732
1.6000	3766.5384	255.2884
1.7000	1972.0011	269.4137
1.8000	893.1813	274.6511
1.9000	381.1601	274.0644
2.0000	163.7762	270.6723
2.1000	73.1487	266.1455
2.2000	34.3267	261.2119
2.3000	16.9553	256.1670
2.4000	8.8026	251.1305
2.5000	4.7917	246.1521
2.6000	2.7276	241.2527
2.7000	1.6195	236.4408
2.8000	1.0005	231.7196
2.9000	0.6417	227.0899
3.0000	0.4265	222.5510
3.1000	0.2931	218.1019
3.2000	0.2079	213.7411
3.3000	0.1521	209.4672
3.4000	0.1145	205.2785
3.5000	0.0885	201.1734
3.6000	0.0703	197.1503
3.7000	0.0573	193.2075
3.8000	0.0477	189.3436
3.9000	0.0407	185.5569
4.0000	0.0355	181.8459
4.1000	0.0317	178.2091
4.2000	0.0288	174.6451
4.3000	0.0267	171.1523
4.4000	0.0252	167.7293
4.5000	0.0242	164.3748
4.6000	0.0237	161.0874
4.7000	0.0235	157.8657
4.8000	0.0238	154.7085
4.9000	0.0244	151.6144
5.0000	0.0255	148.5822
5.1000	0.0269	145.6106
5.2000	0.0288	142.6985
5.3000	0.0313	139.8446
5.4000	0.0345	137.0478
5.5000	0.0385	134.3069
5.6000	0.0434	131.6209
5.7000	0.0495	128.9886
5.8000	0.0572	126.4089
5.9000	0.0668	123.8809
6.0000	0.0789	121.4035
6.1000	0.0941	118.9756
6.2000	0.1135	116.5963
6.3000	0.1381	114.2646
6.4000	0.1697	111.9797
6.5000	0.2104	109.7404
6.6000	0.2633	107.5461
6.7000	0.3323	105.3957
