┌──────┬────────────────┬────────────────┬─────────┬────────────────┬───────┬───────┬───────────────────┐
│  ID  │  Media etapa 1 │  Var. etapa 1  │   Ni    │  Media etapa 2 │  W1   │  W2   │ Media Ponderada   │
├──────┼────────────────┼────────────────┼─────────┼────────────────┼───────┼───────┼───────────────────┤
│     1│           0.411│           0.387│      259│           0.612│  0.092│  0.908│              0.593│
│     2│           0.380│           0.393│      263│           0.555│  0.091│  0.909│              0.539│
│     3│           1.290│           1.562│     1043│           0.933│  0.023│  0.977│              0.941│
│     4│           0.436│           0.711│      475│           0.397│  0.049│  0.951│              0.399│
└──────┴────────────────┴────────────────┴─────────┴────────────────┴───────┴───────┴───────────────────┘
El sistema con la menor media muestral ponderada es 4
