5	100	0.462
5	100	0.659
5	100	0.749
5	100	0.394
5	100	0.812
5	100	0.547
5	100	0.630
5	100	0.656
5	100	0.902
5	100	0.607
5	100	0.471
5	100	0.658
5	100	0.543
5	100	0.675
5	100	0.606
5	100	0.773
5	100	0.795
5	100	0.568
5	100	0.610
5	100	0.622
5	100	0.744
5	100	0.645
5	100	0.660
5	100	0.743
5	100	0.691
5	100	0.594
5	100	0.484
5	100	0.631
5	100	0.600
5	100	0.732
5	100	0.486
5	100	0.520
5	100	0.629
5	100	0.490
5	100	0.713
5	100	0.716
5	100	0.650
5	100	0.524
5	100	0.536
5	100	0.479
5	100	0.571
5	100	0.579
5	100	0.529
5	100	0.604
5	100	0.687
5	100	0.698
5	100	0.529
5	100	0.577
5	100	0.653
5	100	0.668
5	100	0.487
5	100	0.694
5	100	0.590
5	100	0.525
5	100	0.555
5	100	0.690
5	100	0.619
5	100	0.629
5	100	0.726
5	100	0.523
5	100	0.631
5	100	0.570
5	100	0.378
5	100	0.600
5	100	0.573
5	100	0.818
5	100	0.736
5	100	0.621
5	100	0.646
5	100	0.687
5	100	0.778
5	100	0.628
5	100	0.715
5	100	0.621
5	100	0.707
5	100	0.843
5	100	0.862
5	100	0.596
5	100	0.552
5	100	0.660
5	100	0.622
5	100	0.683
5	100	0.453
5	100	0.370
5	100	0.587
5	100	0.613
5	100	0.620
5	100	0.703
5	100	0.526
5	100	0.562
5	100	0.640
5	100	0.583
5	100	0.524
5	100	0.678
5	100	0.489
5	100	0.550
5	100	0.775
5	100	0.489
5	100	0.807
5	100	0.813
