15 0.1 382726
15 0.2 403114
15 0.3 11926.3
15 0.4 2747.75
15 0.5 1880.38
15 0.6 1552.93
15 0.7 1380.73
15 0.8 1274.38
15 0.9 1202.02

30 0.1 226614
30 0.2 392647
30 0.3 447417
30 0.4 320988
30 0.5 15624.6
30 0.6 3022.8
30 0.7 1914.9
30 0.8 1500.83
30 0.9 1283.7

45 0.1 158667
45 0.2 299957
45 0.3 405137
45 0.4 447233
45 0.5 381458
45 0.6 132791
45 0.7 4133.74
45 0.8 1992.18
45 0.9 1417.62

60 0.1 119855
60 0.2 234313
60 0.3 334851
60 0.4 409071
60 0.5 436050
60 0.6 375905
60 0.7 146725
60 0.8 3651.72
60 0.9 1657.98

75 0.1 96950.1
75 0.2 192689
75 0.3 282777
75 0.4 360737
75 0.5 415609
75 0.6 426184
75 0.7 344751
75 0.8 58365.7
75 0.9 2168.63

90 0.1 81348.8
90 0.2 163133
90 0.3 242855
90 0.4 316895
90 0.5 379127
90 0.6 417626
90 0.7 405046
90 0.8 262750
90 0.9 3789.82

180 0.1 41188.2
180 0.2 83035.6
180 0.3 125426
180 0.4 168262
180 0.5 211398
180 0.6 254490
180 0.7 296491
180 0.8 333454
180 0.9 341910

365 0.1 18499.2
365 0.2 36966.6
365 0.3 55404.3
365 0.4 73813.3
365 0.5 92196.7
365 0.6 110567
365 0.7 128964
365 0.8 147528
365 0.9 166877

