15 0.1 275107
15 0.2 111929
15 0.3 2663.19
15 0.4 1675.79
15 0.5 1399.24
15 0.6 1276.39
15 0.7 1211.41
15 0.8 1174.92
15 0.9 1155.67

30 0.1 179261
30 0.2 279614
30 0.3 236410
30 0.4 16276
30 0.5 2525.89
30 0.6 1665.41
30 0.7 1371.75
30 0.8 1236.23
30 0.9 1170.72

45 0.1 128051
45 0.2 232021
45 0.3 286096
45 0.4 254110
45 0.5 82943.3
45 0.6 3317.77
45 0.7 1780.13
45 0.8 1369.58
45 0.9 1203.22

60 0.1 97558
60 0.2 186959
60 0.3 255760
60 0.4 286199
60 0.5 248118
60 0.6 89248.7
60 0.7 3220.24
60 0.8 1650.78
60 0.9 1264.61

75 0.1 79307.6
75 0.2 156362
75 0.3 224323
75 0.4 273381
75 0.5 286613
75 0.6 231000
75 0.7 45951
75 0.8 2354.91
75 0.9 1372.45

90 0.1 66783.3
90 0.2 133872
90 0.3 197207
90 0.4 250983
90 0.5 285131
90 0.6 279639
90 0.7 188694
90 0.8 5926.47
90 0.9 1565.59

180 0.1 34325.7
180 0.2 70627.6
180 0.3 108333
180 0.4 146902
180 0.5 185650
180 0.6 223314
180 0.7 256622
180 0.8 274086
180 0.9 210422

365 0.1 14204.6
365 0.2 27367.3
365 0.3 40196.1
365 0.4 53365.4
365 0.5 67231
365 0.6 82067.1
365 0.7 98382.1
365 0.8 117286
365 0.9 141529

