	2097	3.2159e+06	17221.9
	2098	3.20622e+06	17284.3
	2099	3.19642e+06	17345.6
	2100	3.1865e+06	17405.7
	2101	3.17646e+06	17464.6
	2102	3.16632e+06	17522.3
	2103	3.15607e+06	17578.7
	2104	3.14572e+06	17633.9
	2105	3.13528e+06	17687.9
	2106	3.12475e+06	17740.6
	2107	3.11413e+06	17792.1
	2108	3.10344e+06	17842.3
	2109	3.09267e+06	17891.3
	2110	3.08183e+06	17939
	2111	3.07092e+06	17985.4
	2112	3.05995e+06	18030.6
	2113	3.04892e+06	18074.5
	2114	3.03784e+06	18117.1
	2115	3.0267e+06	18158.5
	2116	3.01552e+06	18198.6
	2117	3.0043e+06	18237.4
	2118	2.99304e+06	18275
	2119	2.98174e+06	18311.3
	2120	2.9704e+06	18346.3
	2121	2.95904e+06	18380.2
	2122	2.94765e+06	18412.7
	2123	2.93624e+06	18444
	2124	2.9248e+06	18474.1
	2125	2.91335e+06	18503
	2126	2.90188e+06	18530.6
	2127	2.89041e+06	18557
	2128	2.87892e+06	18582.3
	2129	2.86742e+06	18606.3
	2130	2.85592e+06	18629.1
	2131	2.84442e+06	18650.7
	2132	2.83292e+06	18671.2
	2133	2.82142e+06	18690.5
	2134	2.80993e+06	18708.7
	2135	2.79844e+06	18725.7
	2136	2.78696e+06	18741.6
	2137	2.77549e+06	18756.4
	2138	2.76404e+06	18770
	2139	2.7526e+06	18782.6
	2140	2.74118e+06	18794
	2141	2.72978e+06	18804.4
	2142	2.7184e+06	18813.8
	2143	2.70704e+06	18822.1
	2144	2.6957e+06	18829.3
	2145	2.68439e+06	18835.6
	2146	2.6731e+06	18840.8
	2147	2.66185e+06	18845
	2148	2.65062e+06	18848.2
	2149	2.63943e+06	18850.5
	2150	2.62827e+06	18851.8
	2151	2.61714e+06	18852.2
	2152	2.60605e+06	18851.6
	2153	2.59499e+06	18850.1
	2154	2.58397e+06	18847.7
	2155	2.57299e+06	18844.5
	2156	2.56205e+06	18840.3
	2157	2.55115e+06	18835.3
	2158	2.5403e+06	18829.5
	2159	2.52948e+06	18822.8
	2160	2.51871e+06	18815.3
	2161	2.50799e+06	18807
	2162	2.49731e+06	18797.9
	2163	2.48668e+06	18788
	2164	2.47609e+06	18777.4
	2165	2.46555e+06	18766
	2166	2.45507e+06	18753.9
	2167	2.44463e+06	18741.1
	2168	2.43424e+06	18727.5
	2169	2.4239e+06	18713.3
	2170	2.41362e+06	18698.4
	2171	2.40339e+06	18682.8
	2172	2.39321e+06	18666.6
	2173	2.38308e+06	18649.8
	2174	2.37301e+06	18632.3
	2175	2.363e+06	18614.2
	2176	2.35304e+06	18595.5
	2177	2.34313e+06	18576.2
	2178	2.33329e+06	18556.4
	2179	2.3235e+06	18536
	2180	2.31376e+06	18515
	2181	2.30409e+06	18493.6
	2182	2.29447e+06	18471.6
	2183	2.28491e+06	18449.1
	2184	2.27541e+06	18426.1
	2185	2.26597e+06	18402.6
	2186	2.25659e+06	18378.7
	2187	2.24727e+06	18354.2
	2188	2.23802e+06	18329.4
	2189	2.22882e+06	18304.1
	2190	2.21968e+06	18278.4
	2191	2.2106e+06	18252.3
	2192	2.20159e+06	18225.8
	2193	2.19264e+06	18198.9
	2194	2.18375e+06	18171.6
	2195	2.17492e+06	18143.9
	2196	2.16616e+06	18115.9
	2197	2.15746e+06	18087.6
	2198	2.14882e+06	18058.9
	2199	2.14025e+06	18029.9
	2200	2.13174e+06	18000.6
	2201	2.12329e+06	17971
	2202	2.11491e+06	17941.1
	2203	2.10659e+06	17910.9
	2204	2.09834e+06	17880.4
	2205	2.09015e+06	17849.7
	2206	2.08203e+06	17818.7
	2207	2.07397e+06	17787.5
	2208	2.06598e+06	17756
	2209	2.05806e+06	17724.3
	2210	2.0502e+06	17692.4
	2211	2.04241e+06	17660.3
	2212	2.03468e+06	17628
	2213	2.02702e+06	17595.5
	2214	2.01943e+06	17562.8
	2215	2.0119e+06	17529.9
	2216	2.00444e+06	17496.9
	2217	1.99705e+06	17463.7
	2218	1.98972e+06	17430.4
	2219	1.98247e+06	17396.9
	2220	1.97528e+06	17363.3
	2221	1.96816e+06	17329.6
	2222	1.96111e+06	17295.8
	2223	1.95412e+06	17261.8
	2224	1.94721e+06	17227.7
	2225	1.94036e+06	17193.6
	2226	1.93359e+06	17159.3
	2227	1.92688e+06	17125
	2228	1.92025e+06	17090.6
	2229	1.91368e+06	17056.1
	2230	1.90718e+06	17021.6
	2231	1.90076e+06	16987
	2232	1.89441e+06	16952.3
	2233	1.88812e+06	16917.6
	2234	1.88191e+06	16882.9
	2235	1.87577e+06	16848.2
	2236	1.86971e+06	16813.4
	2237	1.86371e+06	16778.6
	2238	1.85779e+06	16743.8
	2239	1.85194e+06	16709
	2240	1.84617e+06	16674.2
	2241	1.84047e+06	16639.4
	2242	1.83484e+06	16604.6
	2243	1.82929e+06	16569.8
	2244	1.82382e+06	16535.1
	2245	1.81841e+06	16500.3
	2246	1.81309e+06	16465.6
	2247	1.80784e+06	16431
	2248	1.80267e+06	16396.4
	2249	1.79758e+06	16361.8
	2250	1.79256e+06	16327.3
	2251	1.78763e+06	16292.9
	2252	1.78277e+06	16258.5
	2253	1.77799e+06	16224.2
	2254	1.77329e+06	16189.9
	2255	1.76868e+06	16155.8
	2256	1.76414e+06	16121.7
	2257	1.75969e+06	16087.7
	2258	1.75531e+06	16053.8
	2259	1.75103e+06	16020
	2260	1.74682e+06	15986.3
	2261	1.7427e+06	15952.7
	2262	1.73867e+06	15919.3
	2263	1.73472e+06	15885.9
	2264	1.73086e+06	15852.7
	2265	1.72709e+06	15819.5
	2266	1.7234e+06	15786.6
	2267	1.7198e+06	15753.7
	2268	1.7163e+06	15721
	2269	1.71288e+06	15688.4
	2270	1.70956e+06	15656
	2271	1.70633e+06	15623.7
	2272	1.70319e+06	15591.6
	2273	1.70015e+06	15559.7
	2274	1.6972e+06	15527.9
	2275	1.69435e+06	15496.2
	2276	1.6916e+06	15464.8
	2277	1.68894e+06	15433.5
	2278	1.68639e+06	15402.4
	2279	1.68393e+06	15371.5
	2280	1.68158e+06	15340.8
	2281	1.67933e+06	15310.3
	2282	1.67719e+06	15280
	2283	1.67514e+06	15249.8
	2284	1.67321e+06	15219.9
	2285	1.67138e+06	15190.2
	2286	1.66967e+06	15160.7
	2287	1.66806e+06	15131.5
	2288	1.66656e+06	15102.4
	2289	1.66518e+06	15073.6
	2290	1.66391e+06	15045
	2291	1.66275e+06	15016.7
	2292	1.66172e+06	14988.6
	2293	1.6608e+06	14960.7
	2294	1.65999e+06	14933.1
	2295	1.65932e+06	14905.8
	2296	1.65876e+06	14878.7
	2297	1.65832e+06	14851.9
	2298	1.65802e+06	14825.3
	2299	1.65783e+06	14799
	2300	1.65778e+06	14773
	2301	1.65785e+06	14747.3
	2302	1.65806e+06	14721.8
	2303	1.6584e+06	14696.7
	2304	1.65887e+06	14671.8
	2305	1.65948e+06	14647.3
	2306	1.66023e+06	14623
	2307	1.66112e+06	14599.1
	2308	1.66214e+06	14575.4
	2309	1.66331e+06	14552.1
	2310	1.66462e+06	14529.2
	2311	1.66607e+06	14506.5
	2312	1.66768e+06	14484.2
	2313	1.66943e+06	14462.2
	2314	1.67132e+06	14440.6
	2315	1.67337e+06	14419.3
	2316	1.67558e+06	14398.4
	2317	1.67793e+06	14377.8
	2318	1.68044e+06	14357.6
	2319	1.68311e+06	14337.8
	2320	1.68594e+06	14318.3
	2321	1.68893e+06	14299.3
	2322	1.69207e+06	14280.6
	2323	1.69538e+06	14262.3
